first_name,last_name,address,local_number,salary,employer,member_id,start_date,actively_working
Paul,Black,384 Willow St,103,46467,DEF Ltd,1001,2019-03-22,false
Alice,Lee,178 Fir St,105,46330,DEF Ltd,1002,2019-01-01,false
Victor,Evans,797 Maple St,101,45217,XYZ Inc,1003,2017-08-28,true
Mia,Davis,455 Maple St,103,51197,DEF Ltd,1004,2018-01-21,false
Frank,Edwards,354 Maple St,105,58269,DEF Ltd,1005,2019-10-29,true
Nick,Black,519 Maple St,102,53868,ABC Corp,1006,2018-01-27,true
Ivy,Hall,521 Birch St,103,45398,DEF Ltd,1007,2018-04-15,false
Frank,Black,965 Spruce St,105,53043,XYZ Inc,1008,2018-03-30,false
Kate,Green,929 Oak St,103,55527,DEF Ltd,1009,2017-07-02,true
,Wright,237 Fir St,105,50345,XYZ Inc,1010,2019-12-01,false
Jack,Lee,505 Elm St,105,57886,XYZ Inc,1011,2017-10-20,false
Uma,Black,963 Maple St,101,51084,DEF Ltd,1007,2018-08-15,false
Ivy,Lee,938 Pine St,103,59888,XYZ Inc,1013,2020-07-03,false
Eve,Davis,876 Fir St,105,52328,XYZ Inc,1014,2018-04-18,false
Olivia,Scott,127 Spruce St,102,49555,DEF Ltd,1015,2020-08-22,true
Eve,Young,107 Ash St,103,63438,XYZ Inc,1016,2019-04-20,false
Paul,Hall,914 Birch St,101,52847,DEF Ltd,1017,2017-08-17,true
Hank,Adams,633 Fir St,103,61229,XYZ Inc,1018,2018-07-15,false
Grace,Walker,762 Maple St,102,45043,ABC Corp,1002,2020-10-07,false
Quinn,Lee,376 Maple St,104,64572,ABC Corp,1020,2019-09-07,false
Carol,Brown,727 Poplar St,101,64889,XYZ Inc,1021,2019-02-23,false
Victor,Brown,806 Ash St,102,57504,DEF Ltd,1022,2017-11-09,true
Quinn,White,428 Willow St,102,52559,DEF Ltd,1023,2018-01-25,true
Alice,Gray,245 Willow St,102,59428,DEF Ltd,1024,2019-07-02,true
Carol,Scott,178 Spruce St,105,45775,XYZ Inc,1025,2019-07-12,true
Victor,Brown,313 Oak St,101,49157,ABC Corp,1026,2018-09-05,true
Wendy,Adams,535 Willow St,104,59569,ABC Corp,1027,2017-01-26,true
Eve,Lee,497 Spruce St,101,57426,XYZ Inc,1028,2019-12-18,false
Leo,King,646 Spruce St,103,60053,ABC Corp,1029,2018-12-09,true
Tina,King,285 Pine St,105,49756,DEF Ltd,1030,2019-06-17,false
Sam,Doe,341 Poplar St,103,64252,XYZ Inc,1031,2020-02-06,false
