member_id,first_name,last_name,address,local_number,salary,employer,start_date,actively_working,length_worked_yrs
1001,Paul,Black,384 Willow St,103,46467.0,DEF Ltd,2019-03-22,False,5.229295003422314
1002,Alice,Lee,178 Fir St,105,46330.0,DEF Ltd,2019-01-01,False,5.448323066392882
1003,Victor,Evans,797 Maple St,101,45217.0,XYZ Inc,2017-08-28,True,6.792607802874743
1004,Mia,Davis,455 Maple St,103,51197.0,DEF Ltd,2018-01-21,False,6.392881587953457
1005,Frank,Edwards,354 Maple St,105,58269.0,DEF Ltd,2019-10-29,True,4.6242299794661195
1006,Nick,Black,519 Maple St,102,53868.0,ABC Corp,2018-01-27,True,6.376454483230664
1007,Ivy,Hall,521 Birch St,103,45398.0,DEF Ltd,2018-04-15,False,6.16290212183436
1008,Frank,Black,965 Spruce St,105,53043.0,XYZ Inc,2018-03-30,False,6.206707734428473
1009,Kate,Green,929 Oak St,103,55527.0,DEF Ltd,2017-07-02,True,6.9486652977412735
1010,first_name,Wright,237 Fir St,105,50345.0,XYZ Inc,2019-12-01,False,4.5338809034907595
1011,Jack,Lee,505 Elm St,105,57886.0,XYZ Inc,2017-10-20,False,6.647501711156742
1013,Ivy,Lee,938 Pine St,103,59888.0,XYZ Inc,2020-07-03,False,3.9452429842573578
1014,Eve,Davis,876 Fir St,105,52328.0,XYZ Inc,2018-04-18,False,6.154688569472964
1015,Olivia,Scott,127 Spruce St,102,49555.0,DEF Ltd,2020-08-22,True,3.808350444900753
1016,Eve,Young,107 Ash St,103,63438.0,XYZ Inc,2019-04-20,False,5.149897330595483
1017,Paul,Hall,914 Birch St,101,52847.0,DEF Ltd,2017-08-17,True,6.822724161533197
1018,Hank,Adams,633 Fir St,103,61229.0,XYZ Inc,2018-07-15,False,5.9137577002053385
1020,Quinn,Lee,376 Maple St,104,64572.0,ABC Corp,2019-09-07,False,4.766598220396989
1021,Carol,Brown,727 Poplar St,101,64889.0,XYZ Inc,2019-02-23,False,5.30321697467488
1022,Victor,Brown,806 Ash St,102,57504.0,DEF Ltd,2017-11-09,True,6.5927446954141
1023,Quinn,White,428 Willow St,102,52559.0,DEF Ltd,2018-01-25,True,6.381930184804928
1024,Alice,Gray,245 Willow St,102,59428.0,DEF Ltd,2019-07-02,True,4.950034223134839
1025,Carol,Scott,178 Spruce St,105,45775.0,XYZ Inc,2019-07-12,True,4.922655715263518
1026,Victor,Brown,313 Oak St,101,49157.0,ABC Corp,2018-09-05,True,5.771389459274469
1027,Wendy,Adams,535 Willow St,104,59569.0,ABC Corp,2017-01-26,True,7.378507871321013
1028,Eve,Lee,497 Spruce St,101,57426.0,XYZ Inc,2019-12-18,False,4.487337440109514
1029,Leo,King,646 Spruce St,103,60053.0,ABC Corp,2018-12-09,True,5.51129363449692
1030,Tina,King,285 Pine St,105,49756.0,DEF Ltd,2019-06-17,False,4.991101984941821
1031,Sam,Doe,341 Poplar St,103,64252.0,XYZ Inc,2020-02-06,False,4.350444900752909
1033,Hank,Wright,718 Ash St,105,62406.0,ABC Corp,2020-09-07,True,3.7645448323066395
1035,first_name,Allen,217 Cedar St,105,62871.0,XYZ Inc,2018-09-18,False,5.735797399041752
1036,Leo,Wright,155 Spruce St,104,64759.0,DEF Ltd,2020-03-24,False,4.2217659137577
1037,Quinn,Young,727 Ash St,105,51946.0,XYZ Inc,2019-10-15,False,4.662559890485968
1038,Victor,Brown,600 Fir St,101,59632.0,ABC Corp,2017-02-19,True,7.312799452429843
1039,Ivy,Young,253 Elm St,103,59795.0,DEF Ltd,2020-07-10,True,3.9260780287474333
1040,Leo,Moore,813 Pine St,101,60251.0,ABC Corp,2018-11-25,False,5.549623545516769
1041,Quinn,Davis,907 Spruce St,104,55325.0,XYZ Inc,2018-01-03,True,6.442162902121835
1042,Eve,Allen,940 Maple St,104,60993.0,XYZ Inc,2017-02-19,True,7.312799452429843
1043,Alice,Scott,784 Cedar St,104,59360.0,DEF Ltd,2020-01-26,False,4.380561259411362
1044,first_name,Allen,665 Poplar St,104,49329.0,XYZ Inc,2019-09-28,True,4.7091033538672145
1045,Wendy,Black,145 Poplar St,105,50161.0,ABC Corp,2017-10-01,True,6.699520876112252
1046,Carol,Allen,721 Elm St,105,61779.0,DEF Ltd,2018-09-16,False,5.7412731006160165
1047,Alice,Smith,153 Birch St,101,51428.0,ABC Corp,2020-04-11,True,4.172484599589322
1048,Nick,Black,620 Poplar St,103,63611.0,ABC Corp,2021-02-03,True,3.356605065023956
1049,Ivy,Baker,357 Birch St,104,64698.0,ABC Corp,2020-01-07,True,4.432580424366872
1050,Uma,Brown,187 Willow St,105,56590.0,XYZ Inc,2019-03-07,False,5.270362765229295
1019,first_name,Evans,896 Elm St,101,60659.0,ABC Corp,2018-06-03,False,6.028747433264887
1052,Hank,Edwards,645 Spruce St,103,54837.0,DEF Ltd,2018-10-04,True,5.691991786447638
1053,Leo,Adams,921 Spruce St,103,45188.0,XYZ Inc,2018-11-08,False,5.596167008898015
1055,John,Smith,683 Maple St,102,55976.0,XYZ Inc,2020-02-07,True,4.347707049965777
1056,Quinn,Young,754 Willow St,102,56944.0,XYZ Inc,2019-04-02,False,5.19917864476386
1057,Rachel,Scott,418 Elm St,103,63947.0,XYZ Inc,2019-03-18,False,5.240246406570842
1058,David,Edwards,656 Maple St,103,64129.0,DEF Ltd,2018-09-25,False,5.716632443531828
1059,Eve,Smith,562 Spruce St,103,60511.0,DEF Ltd,2018-10-29,False,5.623545516769336
1060,Alice,Young,287 Cedar St,103,48180.0,ABC Corp,2018-10-26,False,5.631759069130732
1061,Kate,Gray,369 Pine St,104,51106.0,XYZ Inc,2019-06-06,True,5.021218343600274
1063,Victor,Baker,497 Cedar St,102,48396.0,XYZ Inc,2017-11-01,False,6.614647501711157
1064,Alice,Green,265 Birch St,104,51694.0,DEF Ltd,2018-02-17,True,6.31895961670089
1065,Ivy,Smith,547 Spruce St,103,50235.0,XYZ Inc,2017-07-13,False,6.91854893908282
1066,Ivy,Black,248 Cedar St,101,56755.0,ABC Corp,2017-06-12,True,7.003422313483915
1067,Wendy,Brown,631 Elm St,101,51001.0,XYZ Inc,2019-04-24,False,5.138945927446954
1068,Frank,Black,956 Spruce St,102,64516.0,DEF Ltd,2018-01-23,False,6.3874058863791925
1069,Olivia,Hall,482 Fir St,103,59566.0,DEF Ltd,2017-11-11,True,6.587268993839836
1072,Jack,Young,205 Cedar St,101,54050.0,ABC Corp,2017-10-07,True,6.683093771389459
1073,Kate,Brown,950 Poplar St,102,53879.0,DEF Ltd,2019-03-13,True,5.253935660506502
1075,Uma,Wright,983 Birch St,102,45842.0,ABC Corp,2017-10-30,False,6.620123203285421
1076,Jane,Black,900 Pine St,103,59970.0,ABC Corp,2017-03-02,False,7.282683093771389
1077,Kate,Young,914 Poplar St,102,55114.0,XYZ Inc,2020-02-27,True,4.292950034223135
1078,Hank,Brown,183 Oak St,103,58160.0,XYZ Inc,2017-01-06,True,7.433264887063655
1079,Ivy,Wright,158 Birch St,105,64384.0,XYZ Inc,2018-11-23,False,5.555099247091033
1080,Rachel,Smith,844 Birch St,105,46215.0,ABC Corp,2018-08-26,False,5.798767967145791
1081,first_name,Mitchell,945 Willow St,101,57191.0,ABC Corp,2017-10-20,True,6.647501711156742
1082,Frank,Davis,379 Poplar St,104,53578.0,DEF Ltd,2019-12-30,True,4.454483230663929
1083,Jack,Wright,909 Cedar St,103,59160.0,DEF Ltd,2018-06-24,True,5.971252566735113
1084,Sam,Smith,338 Willow St,105,45821.0,ABC Corp,2019-04-04,False,5.193702943189596
1085,Ivy,Baker,626 Birch St,105,62570.0,XYZ Inc,2019-08-08,False,4.848733744010952
1086,Frank,Young,310 Birch St,103,53003.0,XYZ Inc,2018-08-17,False,5.823408624229979
1087,Leo,Baker,600 Willow St,105,53515.0,XYZ Inc,2020-01-26,True,4.380561259411362
